-ford,浅瀬,アサセ
A,イ音,イオン
A,イ調,イチョウ
a,イ音,イオン
a,イ調,イチョウ
A.D.,西暦紀元,セイレキキゲン
AD,西暦紀元,セイレキキゲン
a.m.,午前,ゴゼン
A.M.,午前,ゴゼン
AA,アルコール中毒患者更生会,アルコールチュウドクカンジャコウセイカイ
aardvark,ツチブタ,ツチブタ
Aaron,アロン,アロン
abalone,アワビ,アワビ
abandonment,遺棄,イキ
abandonment,自暴自棄,ジボウジキ
abasement,低下,テイカ
abasement,失墜,シッツイ
abasement,屈辱,クツジョク
abatement,軽減,ケイゲン
abatement,緩和,カンワ
abatement,減価,ゲンカ
abatement,減額,ゲンガク
abattoir,畜殺場,畜殺ジョウ
abbe,神父,シンプ
abbe,師,シ
abbess,女子大修道院長,ジョシダイシュウドウインチョウ
abbey,大修道院,ダイシュウドウイン
abbey,僧,ソウ
abbey,尼僧,ニソウ
abbey,大寺院,ダイジイン
abbey,ウエストミンスター寺院,ウエストミンスタージイン
abbot,大修道院長,ダイシュウドウインチョウ
abbreviation,省略,ショウリャク
abbreviation,略語,リャクゴ
abbreviation,略字,リャクジ
ABC,アルファベット,アルファベット
ABC,初歩,ショホ
ABC,入門,ニュウモン
ABC,いろは,イロハ
abdication,退位,タイイ
abdication,辞職,ジショク
abdomen,腹部,フクブ
abdomen,腹,ハラ
abdomen,腹部,フクブ
abecedarian,初心者,ショシンシャ
abecedarian,初学者,ハツガクシャ
aberration,非行,ヒコウ
ability,能力,ノウリョク
ability,力量,リキリョウ
ablation,切除,セツジョ
ablation,除去,ジョキョ
ablation,融除,トオルジョ
ablation,溶発,溶発
ablative,奪格,ダツカク
ablaut,母音交替,ボインコウタイ
ablution,沐浴,モクヨク
abnegation,禁欲,キンヨク
abnormality,変則,ヘンソク
abo,《俗,《ゾク
abo,禁句》原住民,キンク》ゲンジュウミン
abode,住所,ジュウショ
abode,住居,ジュウキョ
abode,滞在,タイザイ
abode,居住,キョジュウ
abode,過去分詞,カコブンシ
abolition,廃止,ハイシ
abolition,撤廃,テッパイ
abolition,奴隷制度廃止,ドレイセイドハイシ
abolitionism,奴隷制度廃止論,ドレイセイドハイシロン
abolitionist,廃止論者,ハイシロンシャ
abolitionist,奴隷制度廃止論者,ドレイセイドハイシロンシャ
abomination,傑悪,スグルアク
abomination,憎悪,ゾウオ
aboriginal,原住民,ゲンジュウミン
aborigine,原住民,ゲンジュウミン
abortion,流産,リュウザン
abortion,妊娠中絶,ニンシンチュウゼツ
abortion,失敗,シッパイ
abortion,案,アン
abortion,計画,ケイカク
abortionist,堕胎医,ダタイイ
abound,〈人,〈ヒト
about-face,転換,テンカン
abracadabra,じゅ文,ジュモン
abracadabra,たわごと,タワゴト
Abraham,アブラハム,アブラハム
abrasion,すり傷,スリキズ
abrasion,摩滅,マメツ
abrasive,研磨剤,ケンマザイ
abrogation,廃止,ハイシ
abrogation,破棄,ハキ
abscess,膿瘍,ノウヨウ
abscissa,横座標,ヨコザヒョウ
abscission,切除,セツジョ
abscission,切断,セツダン
abscission,分離,ブンリ
abscission,離脱,リダツ
absence,不在,フザイ
absence,欠席,ケッセキ
absence,不在期間,フザイキカン
absence,欠如,ケツジョ
absentee,欠席者,ケッセキシャ
absentee,不在者,フザイシャ
absentee,不在地主,フザイジヌシ
absenteeism,欠勤,ケッキン
absenteeism,長期欠席,チョウキケッセキ
absolutely,断然,ダンゼン
absolutely,そのとおり,ソノトオリ
absolution,免罪,メンザイ
absolution,免除,メンジョ
absolutism,専制政治,センセイセイジ
absorption,吸収,キュウシュウ
absorption,併合,ヘイゴウ
abstention,棄権,キケン
abstinence,禁欲,キンヨク
abstinence,節制,セッセイ
abstraction,抽象,チュウショウ
abstraction,抽出,チュウシュツ
abstraction,放心,ホウシン
absurdity,不合理,フゴウリ
abundance,たくさん,タクサン
abuttal,境界,キョウカイ
abyss,奈落,ナラク
Abyssinia,アビシニア,アビシニア
AC,交流,コウリュウ
A.C.,交流,コウリュウ
ac,交流,コウリュウ
a.c.,交流,コウリュウ
acacia,ハリエンジュ,ハリエンジュ
acacia,ニセアカシア,ニセアカシア
academe,大学,ダイガク
academic,大学教師,ダイガクキョウシ
academic,大学生,ダイガクセイ
academicism,伝統主義,デントウシュギ
academy,学士院,ガクシイン
academy,芸術院,ゲイジュツイン
academy,私立中等学校,シリツチュウトウガッコウ
academy,専門学校,センモンガッコウ
acanthus,アカンサス,アカンサス
acanthus,ハアザミ,ハアザミ
acanthus,アカンサス葉飾り,アカンサスハカザリ
acceleration,加速,カソク
acceleration,加速度,カソクド
accelerator,加速装置,カソクソウチ
accelerator,アクセル,アクセル
accelerator,促進剤,ソクシンザイ
accelerator,粒子加速機,リュウシカソクキ
accelerometer,加速度計,カソクドケイ
accentuate,〈語,〈カタリ
accentuation,強調,キョウチョウ
acceptability,受容性,ジュヨウセイ
acceptance,同意,ドウイ
acceptance,引受け,ヒキウケ
acceptance,引受済み手形,ヒキウケズミテガタ
access,接近,セッキン
access,突発,トッパツ
access,爆発,バクハツ
accession,即位,ソクイ
accession,就任,シュウニン
accession,加入,カニュウ
accession,加盟,カメイ
accessory,付属品,フゾクヒン
accessory,アクセサリー,アクセサリー
accessory,従犯者,ジュウハンシャ
accessory,犯人隠匿者,ハンニンイントクシャ
accidence,語形論,ゴケイロン
