$,dollar ドル記号
-ford,浅瀬
-ford,浅瀬を渡る
'll,will
'll,shallの短縮形
'm,amの短縮形
're,areの短縮形
's,has
's,is
's,us
's,doesの短縮形
't,itの短縮形
'tis,it is の短縮形
'twixt,betwixtの短縮形
've,haveの短縮形
104,通信で用いられる了解の意を表す語
A,answer
A,ampere
a.,about
a.,acre
a.,adjective
A,英語アルファベットの第1字
A,イ音
A,イ調
A,A
a,英語アルファベットの第1字
a,イ音
a,イ調
a,A
A.B.,B.A.
A.C.,ante Christum 紀元前
a.c.,ante cibum 食前服用
A.C.L.U.,American Civil Liberties Union 米国自由人権協会
A.D.,西暦紀元
AD,西暦紀元
A.E.F.,American Expeditionary Forces米国海外派遣軍
A.F.T.,American Federation of Teachers 米国教員連盟
A.G.,Adjutant General 軍務局長
A.G.,Attorney General 検事総長
a.m.,午前
A.M.,午前
a.p.,additional premium 割増保険料
A.P.A.,American Psychiatric Association 米国精神医学会
A.R.V.,American Revised Version 米国標準改訳聖書
A.S.V.,American Standard Version米国標準改訳聖書
A.V.,Authorized Version
A.W.O.L.,absent without leave無届け欠席
a.w.o.l.,absent without leave無届け欠席
A&M,Agricultural and Mechanical 農工
A&R,artists and repertory 出演者と演目
A-line,Aラインの
A-one,第一級の
A-one,すぐれた
A/C,account
A/C,account current 取引勘定
A/P,account paid 支払済
A/P,accounts payable 支払勘定
A/R,account receivable受取り勘定
A/V,audiovisual
A/W,actual weight実量
AA,アルコール中毒患者更生会
AA,14歳以下の児童観賞禁止の表示
AA,14歳以下観賞禁止の
AA,Automobile Association自動車協会
AAA,American Automobile Association 米国自動車協会
AAA,antiaircraft artillery 高射砲
AAM,air-to-air missile
aardvark,ツチブタ
Aaron,アロン
ab.,about
ab.,at bat打数
abaci,abacusの複数形
aback,後へ
aback,後ろに
abacus,そろばん
abalone,アワビ
abalone,アワビの身
abandoned,見捨てられた
abandoned,身を持ちくずした
abandoned,捨てばちの
abandonment,見捨てること
abandonment,遺棄
abandonment,自暴自棄
abasement,低下
abasement,失墜
abasement,屈辱
abatement,軽減
abatement,緩和
abatement,減価
abatement,減額
abatis,さかもぎ
abattoir,畜殺場
abbacy,大修道院長の職
abbe,神父
abbe,師
abbess,女子大修道院長
abbey,大修道院
abbey,僧
abbey,尼僧
abbey,大寺院
abbey,ウエストミンスター寺院
abbot,大修道院長
abbr.,abbreviated
abbr.,abbreviation
abbreviation,省略
abbreviation,省略された語
abbreviation,略語
abbreviation,略字
ABC,アルファベット
ABC,初歩
ABC,入門
ABC,いろは
abdication,退位
abdication,辞職
abdomen,腹部
abdomen,腹
abdomen,腹部
abdominal,腹の
abdominal,腹部の
abduction,誘かい
abductor,誘かい者
abeam,真横に
abecedarian,初心者
abecedarian,初学者
abed,寝床に
aberrant,正道からはずれた
aberrant,常軌を逸した
aberrant,異常な
aberration,正道からはずれること
aberration,非行
aberration,異常
aberration,精神異常
abeyance,一時的な中止
abhorrence,大きらいなもの
abhorrence,大きらいなこと
abhorrent,嫌悪すべき
abhorrent,憎むべき
abhorrent,嫌悪すべき
abiding,永続的な
abiding,不変の
ability,能力
ability,力量
ability,特殊な才能
ability,優れた手腕
abject,下劣な
abject,あさましい
abject,みじめな
abjection,卑しさ
abjection,卑劣
abjection,下劣
abjuration,宣誓して放棄すること
abl.,ablative
ablation,切除
ablation,除去
ablation,融除
ablation,溶発
ablative,奪格の
ablative,奪格
ablaut,母音交替
ablaze,燃えたって
ablaze,明るく輝いて
able,できる
able,有能な
able,腕ききの
able,並々ならない
able-bodied,体のじょうぶな
able-bodied,強壮な
abloom,開花して
ablution,沐浴
ably,りっぱに
ably,うまく
ABM,antiballistic missile 対弾道弾ミサイル
abnegation,権利の放棄
abnegation,禁欲
abnormal,異常な
abnormal,普通でない
abnormal,規準をはずれた
abnormality,異常
abnormality,変則
abnormality,異常なもの
abo,《俗
abo,禁句》原住民
aboard,乗って
aboard,の中へ
abode,住所
abode,住居
abode,滞在
abode,居住
abode,abideの過去
abode,過去分詞
abolition,廃止
abolition,撤廃
abolition,奴隷制度廃止
abolitionary,廃止の
abolitionary,奴隷制度廃止の
abolitionism,奴隷制度廃止論
abolitionist,廃止論者
abolitionist,奴隷制度廃止論者
abominable,憎むべき
abominable,いまわしい
abominable,実にいやな
abominable,ひどい
abomination,傑悪
abomination,憎悪
abomination,傑悪するもの
abomination,いまわしいこと
abominator,嫌悪する人
aboriginal,土着の
aboriginal,もとからある
aboriginal,原住民
aborigine,原住民
aborigine,土着の動物
aborning,生まれかかって
abortion,流産
abortion,妊娠中絶
abortion,失敗
abortion,案
abortion,計画
abortional,流産の
abortional,挫折した
abortionist,堕胎医
abortive,不成功の
abortive,失敗に終わった
abortive,流産の
abortive,発育不全の
abound,〈人
abound,動物などが〉たくさんいる
abound,多い
about-face,回れ右
about-face,180度の方向転換
about-face,転換
about-face,回れ右をする
about-face,方針などを転換する
aboveboard,公明正大な
aboveboard,隠すことのない
aboveboard,公明正大に
aboveboard,隠しごとをせずに
abovementioned,上記の
abovementioned,前述の
abp.,archbishop
abr.,abridged
abr.,abridgment
abracadabra,じゅ文
abracadabra,たわごと
Abraham,アブラハム
abrasion,すり傷
abrasion,すりむくこと
abrasion,摩滅
abrasive,すり減らす
abrasive,すりむく
abrasive,研磨剤
abreast,並んで
abreast,並行して
abroad,海外へ
abroad,外国に
abroad,戸外へ
abroad,広く
abroad,広まって
abrogation,廃止
abrogation,破棄
abrupt,突然の
abrupt,不意の
abrupt,けわしい
abrupt,急な
abrupt,ぶっきらぼうな
abruptly,突然に
abruptly,不意に
abs.,absolute
abs.,absolutely
abscess,膿瘍
abscise,離れる
abscissa,横座標
abscission,切除
abscission,切断
abscission,分離
abscission,離脱
abscond,ひそかに逃亡する
abscond,行くえをくらます
absence,るす
absence,不在
absence,欠席
absence,不在期間
absence,欠席すること
absence,ないこと
absence,欠如
absentee,欠席者
absentee,不在者
absentee,不在地主
absenteeism,常習的欠席
absenteeism,欠勤
absenteeism,長期欠席
absently,放心して
absentminded,放心した
absentminded,ぼんやりしている
absentminded,忘れっぽい
absolute,まったくの
absolute,完全な
absolute,絶対的な力を持った
absolute,絶対の
absolute,確かな
absolute,確固とした
absolute,無条件の
absolute,制約のない
absolute,独立の
absolute,単独の
absolutely,絶対的に
absolutely,完全に
absolutely,無条件に
absolutely,断然
absolutely,そのとおり
absolutely,まったく
absolution,免罪
absolution,免除
absolutism,専制政治
absolve,+of+名》
absolve,+from+名》
absorbedly,夢中になって
absorbent,吸収性の
absorbent,吸収する
absorbing,吸収する
absorbing,心を奪う
absorbing,夢中にさせる
absorption,吸収
absorption,併合
absorption,夢中になること
absorption,専心すること
abstain,控える
abstain,慎む
abstain,棄権する
abstainer,節制する人
abstainer,禁酒する人
abstemious,慎む
abstemious,節制する
abstemious,節約した
abstention,節制すること
abstention,控えること
abstention,棄権
abstinence,禁欲
abstinence,節制
abstinent,節酒する
abstinent,禁欲的な
abstr.,abstract
abstracted,抽出された
abstracted,ぼんやりした
abstraction,抽象
abstraction,抽象的概念
abstraction,抽出
abstraction,放心
abstraction,抽象美術の作品
abstruse,難解な
abstruse,深遠な
absurd,道理に合わない
absurd,ばかばかしい
absurdity,不合理
absurdity,ばかばかしさ
absurdity,ばかげたこと
abt.,about
abundance,たくさん
abundance,豊富
abundant,豊富な
abundant,十分な
abundantly,豊富に
abundantly,たっぷり
abusive,悪用された
abusive,乱用の
abusive,虐待する
abusive,ののしる
abusive,口ぎたない
abut,接する
abut,隣接する
abut,よりかかる
abuttal,境界
abysmal,底知らずの
abysmal,とても悪い
abyss,底知れぬほど深いもの
abyss,奈落
abyssal,深淵の
abyssal,深海の
Abyssinia,アビシニア
Ac,actiniumの化学記号
AC,alternating current
AC,交流
A.C.,alternating current
A.C.,交流
ac,alternating current
ac,交流
a.c.,alternating current
a.c.,交流
acacia,アカシア属の木
acacia,ハリエンジュ
acacia,ニセアカシア
acad.,academic
acad.,academy
academe,アカデミーの森
academe,大学
academic,学園の
academic,大学の
academic,純粋学問の
academic,理論的な
academic,非実際的な
academic,大学教師
academic,大学生
academicism,伝統主義
academy,学士院
academy,芸術院
academy,私立中等学校
academy,専門学校
acanthus,アカンサス
acanthus,ハアザミ
acanthus,アカンサス葉飾り
acc.,acceleration
acc.,account
acc.,accountant
acc.,accusative
acc.,accompanied
acc.,according
accede,同意する
accede,承認する
accede,継承する
accede,就任する
accelerando,しだいに速く
acceleration,加速
acceleration,加速度
accelerator,加速装置
accelerator,アクセル
accelerator,促進剤
accelerator,粒子加速機
accelerometer,加速度計
accentuate,〈語
accentuate,音節〉目立たせる
accentuate,強調する
accentuation,アクセントをおくこと
accentuation,アクセントのおき方
accentuation,強調
acceptability,受け入れられること
acceptability,受容性
acceptable,受け入れられる
acceptable,認められる
acceptable,人に喜ばれる
acceptance,受け取ること
acceptance,認めること
acceptance,受け入れられていること
acceptance,同意
acceptance,引受け
acceptance,引受済み手形
